,imdb,rt,imdb_rating,release_date,budget,critic_score_rt,audience_score_rt,bm,opening_weekend_usa,gross_usa,gross_worldwide
Fantastic Four: Rise of the Silver Surfer,https://www.imdb.com/title/tt0486576/,https://www.rottentomatoes.com/m/fantastic_four_2_rise_of_the_silver_surfer,5.6, 15 June 2007 (USA),130000000.0,37%,51%,,58051684.0,131921738.0,289047763.0
Ghost Rider,https://www.imdb.com/title/tt0259324/,https://www.rottentomatoes.com/m/Ghost_rider,5.2, 16 February 2007 (USA),110000000.0,26%,48%,,45388836.0,115802596.0,228738393.0
Ghost Rider: Spirit of Vengeance,https://www.imdb.com/title/tt1071875/,https://www.rottentomatoes.com/m/ghost_rider_spirit_of_vengeance,4.3, 17 February 2012 (USA),57000000.0,18%,32%,,22115334.0,51774002.0,132563930.0
Green Lantern,https://www.imdb.com/title/tt1133985/,https://www.rottentomatoes.com/m/770677993,5.5, 17 June 2011 (USA),200000000.0,26%,45%,https://www.boxofficemojo.com/movies/?id=greenlantern.htm,53174303.0,116601172.0,219851172.0
Guardians of the Galaxy,https://www.imdb.com/title/tt2015381/,,8.0, 1 August 2014 (USA),170000000.0,,,,94320883.0,333176600.0,772776600.0
Guardians of the Galaxy Vol. 2,https://www.imdb.com/title/tt3896198/,https://www.rottentomatoes.com/m/guardians_of_the_galaxy_vol_2,7.6, 5 May 2017 (USA),200000000.0,84%,87%,,146510104.0,389813101.0,863756051.0
Howard the Duck,https://www.imdb.com/title/tt0091225/,https://www.rottentomatoes.com/m/howard_the_duck,4.7, 1 August 1986 (USA),37000000.0,15%,38%,https://www.boxofficemojo.com/movies/?id=howardtheduck.htm,5070136.0,16295774.0,37962774.0
Hulk,https://www.imdb.com/title/tt0286716/,,5.6, 20 June 2003 (USA),137000000.0,,,https://www.boxofficemojo.com/movies/?id=hulk.htm,62128420.0,132177234.0,245285165.0
Iron Man,https://www.imdb.com/title/tt0371746/,,7.9, 2 May 2008 (USA),140000000.0,,,,98618668.0,318604126.0,585366247.0
Iron Man 2,https://www.imdb.com/title/tt1228705/,,7.0, 7 May 2010 (USA),200000000.0,,,,128122480.0,312433331.0,623933331.0
Iron Man 3,https://www.imdb.com/title/tt1300854/,https://www.rottentomatoes.com/m/iron_man_3,7.2, 3 May 2013 (USA),200000000.0,79%,78%,https://www.boxofficemojo.com/movies/?id=ironman3.htm,174144585.0,409013994.0,1214811252.0
Joker,https://www.imdb.com/title/tt7286456/,https://www.rottentomatoes.com/m/joker_2019,8.8, 4 October 2019 (USA),55000000.0,69%,88%,https://www.boxofficemojo.com/movies/?id=joker2019.htm,96202337.0,323782942.0,1022682942.0
Jonah Hex,https://www.imdb.com/title/tt1075747/,https://www.rottentomatoes.com/m/jonah_hex,4.7, 18 June 2010 (USA),47000000.0,12%,20%,https://www.boxofficemojo.com/movies/?id=jonahhex.htm,5379365.0,10547117.0,10903312.0
Justice League,https://www.imdb.com/title/tt0974015/,https://www.rottentomatoes.com/m/justice_league_2017,6.4, 17 November 2017 (USA),300000000.0,40%,72%,https://www.boxofficemojo.com/movies/?id=dcfilm1117.htm,93842239.0,229024295.0,657924295.0
Logan,https://www.imdb.com/title/tt3315342/,https://www.rottentomatoes.com/m/logan_2017,8.1, 3 March 2017 (USA),97000000.0,93%,90%,https://www.boxofficemojo.com/movies/?id=wolverine2017.htm,88411916.0,226277068.0,619021436.0
Man of Steel,https://www.imdb.com/title/tt0770828/,,7.1, 14 June 2013 (USA),225000000.0,,,,116619362.0,291045518.0,668045518.0
Morbius,https://www.imdb.com/title/tt7630550/,,, 31 July 2020 (USA),,,,,,,
Once Upon a Deadpool,https://www.imdb.com/title/tt5463162/,https://www.rottentomatoes.com/m/deadpool_2,7.7, 18 May 2018 (USA),110000000.0,84%,85%,,125507153.0,324591735.0,785046920.0
Punisher: War Zone,https://www.imdb.com/title/tt0450314/,https://www.rottentomatoes.com/m/punisher_war_zone,5.9, 5 December 2008 (USA),35000000.0,29%,42%,https://www.boxofficemojo.com/movies/?id=punisher2.htm,4271451.0,8050977.0,10103323.0
Shazam!,https://www.imdb.com/title/tt0448115/,https://www.rottentomatoes.com/m/shazam,7.1, 5 April 2019 (USA),100000000.0,90%,83%,https://www.boxofficemojo.com/movies/?id=untitledmovieiv.htm,53505326.0,140371656.0,364571656.0
Spider-Man,https://www.imdb.com/title/tt0145487/,,7.3, 3 May 2002 (USA),139000000.0,,,https://www.boxofficemojo.com/movies/?id=spiderman.htm,114844116.0,407022860.0,825025036.0
Spider-Man 2,https://www.imdb.com/title/tt0316654/,https://www.rottentomatoes.com/m/spiderman_2,7.3, 30 June 2004 (USA),200000000.0,93%,82%,https://www.boxofficemojo.com/movies/?id=spiderman2.htm,88156227.0,373585825.0,783766341.0
Spider-Man 3,https://www.imdb.com/title/tt0413300/,https://www.rottentomatoes.com/m/spiderman_3,6.2, 4 May 2007 (USA),258000000.0,63%,51%,https://www.boxofficemojo.com/movies/?id=spiderman3.htm,151116516.0,336530303.0,890871626.0
